"FIT ID","No.","Post Code","Technology","Installation","kW","Commission","Export","Tariff","Country","GO Region","Local Authority","Related ID","Generator Name"
" FIT00208033"," 1"," LL65 "," Photovoltaic "," Domestic"," 0.35 "," 2009-10-26"," Deemed "," PV-N/0-4/02 "," Wales"," N/A "," Isle of Anglesey "," MCS-00154346-L ","  "
" FIT00208065"," 1"," LL65 "," Photovoltaic "," Domestic"," 0.35 "," 2010-03-04"," Deemed "," PV-N/0-4/02 "," Wales"," N/A "," Isle of Anglesey "," MCS-00153481-M ","  "
" FIT00208011"," 1"," LL65 "," Photovoltaic "," Domestic"," 0.35 "," 2009-10-26"," Deemed "," PV-N/0-4/02 "," Wales"," N/A "," Isle of Anglesey "," MCS-00154338-O ","  "
" FIT00053916"," 1"," BN27 "," Photovoltaic "," Domestic"," 0.35 "," 2011-07-01"," Deemed "," PV-R/0-4/02 "," England"," South East "," Wealden "," MCS-00073603-O ","  "
" FIT00208002"," 1"," LL65 "," Photovoltaic "," Domestic"," 0.35 "," 2009-10-26"," Deemed "," PV-N/0-4/02 "," Wales"," N/A "," Isle of Anglesey "," MCS-00154335-W ","  "
" FIT00208096"," 1"," LL65 "," Photovoltaic "," Domestic"," 0.35 "," 2009-10-26"," Deemed "," PV-N/0-4/02 "," Wales"," N/A "," Isle of Anglesey "," MCS-00154334-R ","  "
" FIT00209660"," 1"," LL65 "," Photovoltaic "," Domestic"," 0.35 "," 2009-10-26"," Deemed "," PV-N/0-4/02 "," Wales"," N/A "," Isle of Anglesey "," MCS-00154337-Q ","  "
" FIT00179430"," 1"," PL8 "," Photovoltaic "," Domestic"," 0.36 "," 2011-09-30"," Deemed "," PV-R/0-4/02 "," England"," South West "," South Hams "," MCS-00116140-X ","  "
" FIT00195006"," 1"," NN5 "," Photovoltaic "," Commercial"," 0.36 "," 2011-07-13"," Deemed "," PV-R/0-4/02 "," England"," East Midlands "," Northampton "," MCS-00136536-U ","  "
" FIT00155518"," 1"," TN26 "," Photovoltaic "," Domestic"," 0.36 "," 2011-02-28"," Deemed "," PV-N/0-4/02 "," England"," South East "," Ashford "," MCS-00042448-O ","  "
" FIT00095383"," 1"," TN26 "," Photovoltaic "," Domestic"," 0.36 "," 2011-03-02"," Deemed "," PV-R/0-4/02 "," England"," South East "," Ashford "," MCS-00042464-B ","  "
" FIT00053691"," 1"," TN26 "," Photovoltaic "," Domestic"," 0.36 "," 2011-03-02"," Deemed "," PV-N/0-4/02 "," England"," South East "," Ashford "," MCS-00042475-H ","  "
" FIT00333351"," 1"," IG11 "," Photovoltaic "," Domestic"," 0.36 "," 2011-10-28"," Deemed "," PV-R/0-4/02 "," England"," London "," Barking and Dagenham "," MCS-00216990-Y ","  "
" FIT00001573"," 1"," SK8 "," Photovoltaic "," Domestic"," 0.36 "," 2010-06-02"," Deemed "," PV-R/0-4/01 "," England"," North West "," Stockport "," MCS-00005719-C ","  "
" FIT00101340"," 1"," CH6 "," Photovoltaic "," Domestic"," 0.36 "," 2011-02-24"," Deemed "," PV-R/0-4/01 "," Wales"," N/A "," Flintshire "," MCS-00037414-O ","  "
" FIT00341426"," 1"," TN26 "," Photovoltaic "," Domestic"," 0.36 "," 2011-07-27"," Deemed "," PV-R/0-4/03 H "," England"," South East "," Ashford "," MCS-00313076-J ","  "
" FIT00135865"," 1"," PE9 "," Photovoltaic "," Domestic"," 0.36 "," 2011-09-05"," Deemed "," PV-R/0-4/02 "," England"," East Midlands "," South Kesteven "," MCS-00143845-B ","  "
" FIT00649176"," 1"," S64 "," Photovoltaic "," Domestic"," 0.37 "," 2012-11-07"," Deemed "," PV-N/0-4/06H-1 "," England"," Yorks & Humber "," Doncaster "," MCS-00417457-W ","  "
" FIT00386369"," 1"," E4 "," Photovoltaic "," Domestic"," 0.37 "," 2012-03-07"," Deemed "," PV-R/0-4/04H "," England"," East of England "," Epping Forest "," MCS-00317317-G ","  "
" FIT00375064"," 1"," E4 "," Photovoltaic "," Domestic"," 0.37 "," 2012-01-18"," Deemed "," PV-R/0-4/02 R "," England"," East of England "," Epping Forest "," MCS-00308809-F ","  "
